,I,E,N,S,T,F,P,J
ADJ,1148,493,1229.0,566,1069,740,647,2296
ADP,140,72,167.0,55,138,85,82,280
ADV,660,309,766.0,339,657,459,445,1320
CCONJ,19,12,14.0,8,8,14,3,38
DET,27,15,20.0,20,28,13,13,54
INTJ,14,9,12.0,8,9,11,6,28
NOUN,3139,1586,3299.0,1705,2886,2145,1865,6278
NUM,112,80,121.0,69,113,80,78,224
PART,43,23,52.0,17,43,27,26,86
PRON,61,31,58.0,31,52,38,28,122
PROPN,3,5,,5,1,4,2,6
PUNCT,1385,662,1387.0,687,1187,904,689,2770
SPACE,36,20,45.0,20,36,30,29,72
SYM,3,1,3.0,2,1,4,2,6
VERB,1915,974,2132.0,995,1820,1333,1212,3830
X,2,1,2.0,1,1,2,1,4
